caminho,temp_execucao,qtde 
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Crescente/dtcresc50uni9.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Crescente/dtcresc50uni4.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Convexo-CresceDescresce/dtconvx50uni2.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Convexo-CresceDescresce/dtconvx50uni8.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Convexo-CresceDescresce/dtconvx50uni9.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Convexo-CresceDescresce/dtconvx50uni5.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Convexo-CresceDescresce/dtconvx50uni4.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Convexo-CresceDescresce/dtconvx50uni7.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Convexo-CresceDescresce/dtconvx50uni3.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Convexo-CresceDescresce/dtconvx50uni6.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Convexo-CresceDescresce/dtconvx50uni1.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Convexo-CresceDescresce/dtconvx50uni0.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Aleatorio/dtaleat50uni3.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Aleatorio/dtaleat50uni9.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Aleatorio/dtaleat50uni8.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Aleatorio/dtaleat50uni1.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Aleatorio/dtaleat50uni5.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Aleatorio/dtaleat50uni6.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Aleatorio/dtaleat50uni0.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Aleatorio/dtaleat50uni7.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Aleatorio/dtaleat50uni2.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Aleatorio/dtaleat50uni4.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Concavo-DecresceCresce/dtconcv50uni5.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Concavo-DecresceCresce/dtconcv50uni8.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Concavo-DecresceCresce/dtconcv50uni3.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Concavo-DecresceCresce/dtconcv50uni0.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Concavo-DecresceCresce/dtconcv50uni4.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Concavo-DecresceCresce/dtconcv50uni2.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Concavo-DecresceCresce/dtconcv50uni1.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Concavo-DecresceCresce/dtconcv50uni7.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Concavo-DecresceCresce/dtconcv50uni9.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Concavo-DecresceCresce/dtconcv50uni6.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Descrescente/dtdecre50uni4.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Descrescente/dtdecre50uni2.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Descrescente/dtdecre50uni7.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Descrescente/dtdecre50uni0.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Descrescente/dtdecre50uni6.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Descrescente/dtdecre50uni8.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Descrescente/dtdecre50uni5.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Descrescente/dtdecre50uni3.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Descrescente/dtdecre50uni9.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Descrescente/dtdecre50uni1.txt,0ms,50
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Crescente/dtcresc100dup0.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Crescente/dtcresc100dup8.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Crescente/dtcresc100dup7.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Crescente/dtcresc100dup1.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Crescente/dtcresc100dup3.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Crescente/dtcresc100dup5.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Crescente/dtcresc100dup9.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Crescente/dtcresc100dup2.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Crescente/dtcresc100dup6.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Crescente/dtcresc100dup4.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Convexo-CresceDescresce/dtconvx100dup5.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Convexo-CresceDescresce/dtconvx100dup1.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Convexo-CresceDescresce/dtconvx100dup6.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Convexo-CresceDescresce/dtconvx100dup4.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Convexo-CresceDescresce/dtconvx100dup8.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Convexo-CresceDescresce/dtconvx100dup9.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Convexo-CresceDescresce/dtconvx100dup3.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Convexo-CresceDescresce/dtconvx100dup0.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Convexo-CresceDescresce/dtconvx100dup2.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Convexo-CresceDescresce/dtconvx100dup7.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Aleatorio/dtaleat100dup9.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Aleatorio/dtaleat100dup3.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Aleatorio/dtaleat100dup4.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Aleatorio/dtaleat100dup6.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Aleatorio/dtaleat100dup5.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Aleatorio/dtaleat100dup8.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Aleatorio/dtaleat100dup1.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Aleatorio/dtaleat100dup0.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Aleatorio/dtaleat100dup2.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Aleatorio/dtaleat100dup7.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Concavo-DecresceCresce/dtconcv100dup4.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Concavo-DecresceCresce/dtconcv100dup2.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Concavo-DecresceCresce/dtconcv100dup6.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Concavo-DecresceCresce/dtconcv100dup0.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Concavo-DecresceCresce/dtconcv100dup3.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Concavo-DecresceCresce/dtconcv100dup1.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Concavo-DecresceCresce/dtconcv100dup7.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Concavo-DecresceCresce/dtconcv100dup5.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Concavo-DecresceCresce/dtconcv100dup8.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Concavo-DecresceCresce/dtconcv100dup9.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Descrescente/dtdecre100dup6.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Descrescente/dtdecre100dup0.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Descrescente/dtdecre100dup7.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Descrescente/dtdecre100dup4.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Descrescente/dtdecre100dup5.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Descrescente/dtdecre100dup3.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Descrescente/dtdecre100dup9.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Descrescente/dtdecre100dup8.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Descrescente/dtdecre100dup1.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Com Duplicidade/Descrescente/dtdecre100dup2.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Crescente/dtcresc100uni5.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Crescente/dtcresc100uni0.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Crescente/dtcresc100uni6.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Crescente/dtcresc100uni3.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Crescente/dtcresc100uni1.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Crescente/dtcresc100uni8.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Crescente/dtcresc100uni9.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Crescente/dtcresc100uni7.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Crescente/dtcresc100uni2.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Crescente/dtcresc100uni4.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Convexo-CresceDescresce/dtconvx100uni5.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Convexo-CresceDescresce/dtconvx100uni7.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Convexo-CresceDescresce/dtconvx100uni9.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Convexo-CresceDescresce/dtconvx100uni0.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Convexo-CresceDescresce/dtconvx100uni4.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Convexo-CresceDescresce/dtconvx100uni6.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Convexo-CresceDescresce/dtconvx100uni8.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Convexo-CresceDescresce/dtconvx100uni2.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Convexo-CresceDescresce/dtconvx100uni3.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Convexo-CresceDescresce/dtconvx100uni1.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Aleatorio/dtaleat100uni4.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Aleatorio/dtaleat100uni8.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Aleatorio/dtaleat100uni1.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Aleatorio/dtaleat100uni5.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Aleatorio/dtaleat100uni0.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Aleatorio/dtaleat100uni7.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Aleatorio/dtaleat100uni3.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Aleatorio/dtaleat100uni2.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Aleatorio/dtaleat100uni6.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Aleatorio/dtaleat100uni9.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Concavo-DecresceCresce/dtconcv100uni2.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Concavo-DecresceCresce/dtconcv100uni6.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Concavo-DecresceCresce/dtconcv100uni0.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Concavo-DecresceCresce/dtconcv100uni8.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Concavo-DecresceCresce/dtconcv100uni3.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Concavo-DecresceCresce/dtconcv100uni4.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Concavo-DecresceCresce/dtconcv100uni7.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Concavo-DecresceCresce/dtconcv100uni9.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Concavo-DecresceCresce/dtconcv100uni5.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Concavo-DecresceCresce/dtconcv100uni1.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Descrescente/dtdecre100uni0.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Descrescente/dtdecre100uni7.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Descrescente/dtdecre100uni3.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Descrescente/dtdecre100uni1.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Descrescente/dtdecre100uni5.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Descrescente/dtdecre100uni8.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Descrescente/dtdecre100uni2.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Descrescente/dtdecre100uni6.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Descrescente/dtdecre100uni4.txt,0ms,100
../dadosExternos/colecaoDados/dados/100/Sem Duplicidade/Descrescente/dtdecre100uni9.txt,0ms,100
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Crescente/dtcresc10dup1.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Crescente/dtcresc10dup9.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Crescente/dtcresc10dup3.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Crescente/dtcresc10dup4.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Crescente/dtcresc10dup8.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Crescente/dtcresc10dup0.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Crescente/dtcresc10dup2.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Crescente/dtcresc10dup6.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Crescente/dtcresc10dup5.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Crescente/dtcresc10dup7.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Convexo-CresceDescresce/dtconvx10dup0.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Convexo-CresceDescresce/dtconvx10dup9.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Convexo-CresceDescresce/dtconvx10dup2.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Convexo-CresceDescresce/dtconvx10dup1.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Convexo-CresceDescresce/dtconvx10dup5.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Convexo-CresceDescresce/dtconvx10dup7.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Convexo-CresceDescresce/dtconvx10dup8.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Convexo-CresceDescresce/dtconvx10dup3.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Convexo-CresceDescresce/dtconvx10dup6.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Convexo-CresceDescresce/dtconvx10dup4.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Aleatorio/dtaleat10dup0.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Aleatorio/dtaleat10dup9.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Aleatorio/dtaleat10dup6.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Aleatorio/dtaleat10dup7.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Aleatorio/dtaleat10dup2.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Aleatorio/dtaleat10dup4.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Aleatorio/dtaleat10dup3.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Aleatorio/dtaleat10dup1.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Aleatorio/dtaleat10dup5.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Aleatorio/dtaleat10dup8.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Concavo-DecresceCresce/dtconcv10dup4.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Concavo-DecresceCresce/dtconcv10dup2.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Concavo-DecresceCresce/dtconcv10dup1.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Concavo-DecresceCresce/dtconcv10dup0.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Concavo-DecresceCresce/dtconcv10dup5.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Concavo-DecresceCresce/dtconcv10dup7.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Concavo-DecresceCresce/dtconcv10dup3.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Concavo-DecresceCresce/dtconcv10dup6.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Concavo-DecresceCresce/dtconcv10dup9.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Concavo-DecresceCresce/dtconcv10dup8.txt,0ms,10
../dadosExternos/colecaoDados/dados/10/Com Duplicidade/Descrescente/dtdecre10dup6.txt,0ms,10
